Day,StartTime,EndTime,TimeSlotID
Sunday,09:00:00 AM,10:30:00 AM,0
Sunday,10:45:00 AM,12:15:00 PM,1
Sunday,12:30:00 PM,02:00:00 PM,2
Sunday,02:15:00 PM,03:45:00 PM,3
Monday,09:00:00 AM,10:30:00 AM,4
Monday,10:45:00 AM,12:15:00 PM,5
Monday,12:30:00 PM,02:00:00 PM,6
Monday,02:15:00 PM,03:45:00 PM,7
Tuesday,09:00:00 AM,10:30:00 AM,8
Tuesday,10:45:00 AM,12:15:00 PM,9
Tuesday,12:30:00 PM,02:00:00 PM,10
Tuesday,02:15:00 PM,03:45:00 PM,11
Wednesday,09:00:00 AM,10:30:00 AM,12
Wednesday,10:45:00 AM,12:15:00 PM,13
Wednesday,12:30:00 PM,02:00:00 PM,14
Wednesday,02:15:00 PM,03:45:00 PM,15
Thursday,09:00:00 AM,10:30:00 AM,16
Thursday,10:45:00 AM,12:15:00 PM,17
Thursday,12:30:00 PM,02:00:00 PM,18
Thursday,02:15:00 PM,03:45:00 PM,19
